provider_id,name,location,latitude,longitude,contact_number
18,"HealthCenter Singh, Hunter and Gardner","473 Wolf Road, Morrisonville, WV 51581",50.585773,16.731799,2865591224
19,"HealthCenter Smith, Gonzalez and Holt","945 Jason Forest Suite 744, Desireefurt, IA 91394",44.563097,-83.386772,573-386-6134x505
20,"HealthCenter Morris, Vaughan and Jones","7891 Brad Highway, Wilsonbury, ND 03957",43.209966,-109.458462,910.875.4607x02747
21,HealthCenter Estrada-Flores,"427 Michael Freeway, Denisemouth, ND 71902",83.2525855,-162.850021,814.980.6602x36988
22,HealthCenter Reyes-Harris,"234 Petersen Divide Suite 427, New Brittanyfort, OR 13019",-1.0974425,-4.460767,001-494-545-5768
23,HealthCenter Woods-Neal,"5371 Perez Court, Gaineston, CO 97372",-26.922459,171.642409,577-744-0540x75450
24,HealthCenter Shaw Group,"26677 Joseph Road Apt. 938, Deborahfort, SC 71534",33.3401105,21.544508,647-612-6052x83084
25,HealthCenter Barrett PLC,"636 Williams Heights, Johnsonchester, DC 08922",71.72531,95.568263,+1-308-720-9117x7445
26,"HealthCenter Taylor, Rios and Morse","054 William Inlet, Richardsonville, PW 71798",-23.2874485,-87.969577,208-589-4991
27,HealthCenter Harris-Williams,"020 Bennett Forest Suite 121, Brianfort, GA 51602",67.713903,156.487674,353-598-9287x471
28,"HealthCenter Jacobs, Smith and Dixon","Unit 2296 Box 4027, DPO AP 73929",55.8088045,28.222865,+1-354-856-0990x77015
29,HealthCenter Ayala-Bailey,"30391 Ingram Ports Apt. 825, Lindafurt, NM 13315",40.072091,-157.525157,+1-776-207-8159
30,"HealthCenter Cole, Tapia and Parker","1460 Calderon Run, Tinaburgh, GA 50704",45.5911595,82.25477,647.210.0509x592
31,"HealthCenter Terrell, Grant and Cross","42627 Paul Club Suite 337, West Michelle, SD 76270",-41.1314095,-179.148146,328.295.0886
32,HealthCenter Garcia-Sanford,"9128 Paul Mountain, New Hollyborough, AR 66867",-4.3897625,-18.517183,001-340-866-6459
33,HealthCenter Morris-White,"962 Theresa Hills, Thomasmouth, AZ 45690",-89.8401505,40.006354,001-352-226-0569
34,"HealthCenter Howard, Ramsey and Krause","386 Hernandez Groves Suite 640, Alanport, WA 73342",-45.8355885,21.826881,8818303377
35,HealthCenter Williams-Kelley,"79452 Samuel Green Suite 220, Oliviafort, HI 74380",-71.938738,-20.171677,947.728.7044
36,HealthCenter Dalton PLC,"9939 Dawn Loop, Thompsonstad, AZ 04666",9.4779225,106.246025,751-417-0339x97612
37,HealthCenter Russo Inc,"99186 Michael Course Apt. 045, South Andrewport, PR 38552",39.363176,113.561722,(931)685-4244x37344
38,HealthCenter Nelson Group,"451 Stevens Village, Floresbury, KS 48868",25.1836105,44.873215,566.585.7551
39,"HealthCenter Gordon, Joyce and Welch","536 Catherine Junctions Suite 972, Lake Christopher, VA 97236",25.7029815,-6.035995,726.576.9632x209
40,"HealthCenter Hoffman, Johnson and Wolfe","888 Skinner Roads Apt. 669, Nelsonland, WV 85672",48.5964675,33.718114,(802)255-6947
41,HealthCenter Barnes-Douglas,"90574 William Crescent, Katiemouth, WA 48015",-19.6315025,158.300319,+1-378-825-8865
42,"HealthCenter Shepherd, Hernandez and Gonzalez","9344 Reid Alley Apt. 095, West Matthewfurt, WV 39592",-24.098839,149.046805,271.301.6381x6704
43,"HealthCenter Green, Evans and Lambert","11435 Marshall Motorway Apt. 250, Cynthiaview, KS 97708",-14.6081275,-170.848016,856.439.3917x357
44,"HealthCenter Hall, Munoz and Wyatt","8271 Singleton Neck, New Ryan, AS 47196",-66.836764,157.667749,306.309.9507
45,HealthCenter Oconnor-Anderson,"9714 Bridges Way, Bartlettview, WY 55610",59.3457395,-50.314629,650-832-5315
46,HealthCenter Brown Group,"4217 Melissa Union, Paulshire, WV 65165",-29.0801475,-169.549668,482.359.0224x231
47,HealthCenter Gibson-Pearson,"6016 Christine Valleys Apt. 514, New Shawn, PR 78226",-24.175011,-9.922449,647-627-0142
48,"HealthCenter Reed, Kim and Bennett","78730 Lauren Flats, South Carolynview, VI 60879",-3.719601,15.217391,+1-316-501-1082x66078
49,"HealthCenter Hodges, Howard and Henry","12274 Francisco Neck Apt. 115, Cherylchester, MN 61432",-28.589297,-8.658504,7486571648
50,"HealthCenter Peters, Howard and Small","51195 Brenda Way Suite 421, Mikaylaborough, NC 49394",-0.397932,-107.29202,+1-548-444-6810x45876
51,HealthCenter Bass-Davis,"162 Martinez Crest, Carlshire, MD 54926",39.481477,-150.3393,566.204.9270
52,HealthCenter Ramirez-Moore,"2955 Leonard Crossroad, North John, VT 08484",-83.335221,-87.750366,782.878.3118x29830
53,"HealthCenter Murray, Gibbs and Hendrix","33905 Parks Plaza, Port Kendra, UT 80563",-68.3663675,-118.449029,+1-930-243-0142x65574
54,HealthCenter Beard and Sons,"0601 Reynolds Estate Suite 286, Wellsmouth, VA 18250",-56.091583,42.312619,+1-368-365-2960x10990
55,"HealthCenter Smith, Ibarra and Stewart","831 Kenneth Orchard, Quinnview, VT 07644",47.5219565,147.449814,(617)319-0328x48104
56,"HealthCenter Dennis, Smith and Simmons","9844 Sierra Mews, Christinechester, PA 86819",-10.5685465,22.38758,001-315-581-9481
57,HealthCenter Brown-Jacobs,"USS Jones, FPO AA 88395",-65.5490235,-57.313966,892.866.0640x9029
58,"HealthCenter Thomas, Cox and Burch","82891 Thomas Meadows Apt. 556, Lake Cheryl, FM 80482",-79.1945855,153.342777,297-695-8914x80749
59,HealthCenter Brown PLC,"Unit 7351 Box 2835, DPO AP 34877",-50.523262,-50.318152,(550)640-9369
60,HealthCenter Johnson PLC,"61085 Tyler Forest Suite 218, New Christopherbury, LA 59580",-75.750327,-120.357845,+1-258-879-8057x40189
61,HealthCenter Mills-Burch,"89405 Gomez Orchard, Toddfort, AS 95931",23.5340705,31.928739,001-692-540-1465x472
62,"HealthCenter Foster, Fernandez and Simmons","6272 Ethan Courts, East James, CO 57256",-52.649205,-69.65105,+1-488-385-8513x5132
63,HealthCenter Reid-Anderson,"67406 John Point, Mccartyborough, IN 93272",-19.2649045,-142.878113,7357945312
64,HealthCenter Clark and Sons,"43425 Crystal Roads Apt. 188, Port Stephenchester, WA 68395",-14.1880065,77.188303,+1-875-930-7914x17406
65,"HealthCenter Fischer, Conway and Roberts","74843 Hunter Common, Frankburgh, UT 79133",-86.8246325,129.477938,948-488-6006x802
66,HealthCenter Frank-Torres,"11640 Larson Squares, Newmanmouth, SC 57326",82.412072,131.62822,980-484-4670x7944
67,HealthCenter Saunders-Nelson,"023 Morales Circles, Adrianafort, NM 70114",-61.036371,-177.587907,389-929-8365x918
68,HealthCenter Morgan LLC,"71003 Rebecca Key Apt. 550, West Martin, HI 10483",-66.778318,-76.113875,+1-749-592-5036x783
69,"HealthCenter Rodriguez, Brown and Reynolds","40981 Weiss Estate, North Traci, RI 37467",54.457737,32.120024,837.600.7746x10948
70,"HealthCenter Ross, Lindsey and Miller","80182 Chase Valleys Apt. 956, Contrerasmouth, AS 16974",-19.6621135,-52.865284,(249)581-9044
71,HealthCenter Pearson Group,"2894 Gilmore Brook Apt. 473, South Jenniferville, VT 24110",20.0113155,-29.963793,(895)347-6410
72,HealthCenter Wagner-Allison,"74326 Daniel Prairie Apt. 110, Port Tonyaton, OH 82865",-63.996458,-66.93682,(807)666-9241x49357
73,"HealthCenter Wright, Merritt and Bush","723 Tate Drive, South Keith, MN 49852",-15.932756,99.776418,(434)564-5831x84088
74,"HealthCenter Young, Fleming and Garcia","50130 Sanchez Pines Suite 146, East Jimfurt, CA 32920",25.181087,153.899929,579-930-7164x53880
75,HealthCenter Martinez-Harrison,"18493 Bryant Springs, North Shannonport, MN 73755",83.3143865,-82.648483,(950)831-9449x51549
76,HealthCenter Bush LLC,"6955 Boyd Camp Suite 114, New Georgestad, WV 94330",-59.1362285,-164.98762,001-881-278-3373x014
77,HealthCenter Jones LLC,"64369 Long Locks, Mcdonaldfort, FM 55031",-86.3501845,99.606048,5979292932
78,HealthCenter Robinson-Gardner,"82998 Roman Light, Karinashire, IA 90716",78.668642,118.410666,(719)754-9252
79,HealthCenter Gomez Ltd,"41109 Bolton Trail, New Nicole, MN 47499",21.5504035,109.927697,478-214-3900x8073
80,HealthCenter Morris and Sons,"3748 Cheryl Track, Petersonshire, NH 84073",-64.9028855,-52.106278,277-332-4906x81148
81,"HealthCenter Harris, Brown and Murphy","1912 Christopher Street, Lake Tonyaton, VT 73505",-11.816677,-99.140856,641.512.9484x73623
82,HealthCenter Mccarty LLC,"PSC 1162, Box 1127, APO AP 90318",68.1526385,-47.965678,782.399.1227x610
83,HealthCenter Torres PLC,"3812 Hill Row Apt. 922, Cortezmouth, FM 21599",-86.9376715,87.531591,001-343-599-4720x1084
84,HealthCenter Knight and Sons,"45539 Reid Streets Apt. 145, East Veronicashire, FL 49710",71.630623,153.464502,+1-470-754-9163x0779
85,"HealthCenter Frazier, Harris and Jenkins","68784 Susan Fort, North Phylliston, VA 97324",21.2300165,-99.479806,001-877-229-2996x195
86,HealthCenter Ramirez-Gray,"697 Castaneda Ranch, Port Daniel, VT 16525",-28.5138885,149.656256,223-645-8817x1044
87,HealthCenter Chapman-Ramsey,"97588 Jennifer Row Suite 964, South Christine, MN 70352",-29.080594,-48.773679,656-698-1683x94530
88,HealthCenter Cox Inc,"669 Isaiah Street Suite 920, South Charlesstad, OR 06472",21.7958925,173.764124,(295)216-4106x12309
89,HealthCenter Bennett Group,"052 Mathis Crossing, West Ashley, CO 43178",20.742074,5.434538,+1-309-872-0675
90,"HealthCenter Escobar, Fuller and Price","57376 Novak Meadows Apt. 804, Port Alexandraville, AZ 74685",41.346954,-68.752853,001-737-424-5609
91,HealthCenter Edwards-Bennett,"296 Thomas Mission, Robertville, AR 46502",0.740316,30.286362,(241)877-3656x6846
92,HealthCenter Holmes PLC,"25055 Tracy Springs Suite 317, Lake William, WV 07462",46.320264,14.719558,241.276.2134
93,HealthCenter Ramos LLC,"22512 Rasmussen Pine Suite 838, Santoschester, MT 33923",73.718498,-67.47419,(693)364-2183x4748
94,HealthCenter Swanson PLC,"635 Gonzales Circles Suite 418, Harrisbury, NY 71738",-46.5637365,113.385003,272-590-8072
95,HealthCenter Johnson-Martinez,"938 Jason Lodge, Nicolechester, OK 90374",-48.4067475,-170.718157,(751)236-6430
96,HealthCenter Cobb-Valdez,"25111 Sharp Parkways Apt. 092, West Donald, KS 64829",81.8509655,-170.045967,001-468-400-7917x94054
97,"HealthCenter Marquez, Boyd and Dunn","98125 Wallace Causeway Apt. 549, Jasonburgh, VI 70332",84.9107635,-159.168747,+1-468-913-6769
98,"HealthCenter Barrera, Mccoy and Williams","7959 Rivas Roads Apt. 627, Thomasshire, MT 53864",-77.3589915,28.822531,(583)290-7047x98730
99,HealthCenter Flynn-Patrick,"22094 Fitzgerald Forest, New Maureenview, FL 88209",87.938777,72.561498,902-578-9644
100,HealthCenter Hendricks Inc,"7379 Benton Valley Suite 468, New Joseborough, OH 50518",74.7144695,37.878597,981.284.8399x7244
