id,drug_id,avg_price,min_price,max_price,availability_percentage,calculated_at
45,17,354.45,24.62,851.26,3.65,2026-04-10 12:44:11.066031
46,47,108.7,45.29,557.51,87.16,2026-04-05 16:26:23.079723
47,49,232.96,12.39,745.74,66.81,2026-04-04 04:56:23.502992
48,100,115.8,17.23,400.24,90.18,2026-04-03 15:45:10.582695
49,52,83.43,11.87,771.88,26.95,2026-04-08 11:22:56.557482
50,45,320.67,48.63,694.77,32.41,2026-04-04 21:39:17.233044
51,36,157.74,31.4,632.75,54.7,2026-04-04 01:13:36.539268
52,40,210.11,27.36,404.17,2.48,2026-04-02 08:44:31.766868
53,61,98.25,42.03,751.8,0.77,2026-04-06 10:13:19.719460
54,9,106.65,23.94,931.12,27.16,2026-04-02 23:56:34.729703
55,57,63.8,10.94,781.9,62.74,2026-04-09 18:13:09.359501
56,92,337.83,40.57,691.95,77.51,2026-04-03 07:59:03.391660
57,30,342.7,13.11,822.41,34.9,2026-04-10 04:38:19.918643
58,34,183.35,39.02,936.56,67.85,2026-04-11 12:56:40.250387
59,38,389.92,36.85,560.62,10.91,2026-04-10 02:01:57.805631
60,5,365.57,29.24,735.67,17.75,2026-04-11 03:50:35.003415
61,11,273.51,41.49,744.52,17.02,2026-04-03 14:59:26.332681
62,66,95.67,44.58,448.26,36.32,2026-04-07 16:12:29.887649
63,16,123.99,21.74,583.31,53.67,2026-04-01 22:13:05.808944
64,64,394.33,12.6,433.11,44.89,2026-04-04 05:43:41.509301
65,92,164.42,20.54,974.72,63.17,2026-04-02 14:43:21.523827
66,45,66.38,29.8,882.82,27.09,2026-04-07 17:42:27.017883
67,7,176.09,22.33,537.4,52.94,2026-04-11 09:14:04.561831
68,57,222.15,46.84,795.23,27.44,2026-04-07 02:11:20.613417
69,77,228.05,11.17,834.56,20.24,2026-04-09 17:45:10.416536
70,79,339.29,17.92,999.3,16.98,2026-04-09 05:11:32.512229
71,74,107.71,29.77,701.94,2.55,2026-04-02 21:46:25.555126
72,22,261.85,35.57,614.85,98.86,2026-04-04 03:16:06.622400
73,57,187.45,21.77,553.25,54.53,2026-04-08 14:32:29.309060
74,14,199.58,30.65,570.46,45.92,2026-04-03 10:43:01.406985
75,40,377.89,19.27,694.84,56.59,2026-04-05 09:06:14.185622
76,36,221.34,12.48,694.79,93.68,2026-04-06 04:08:36.528831
77,23,202.64,20.21,640.39,89.33,2026-04-08 14:57:06.341318
78,13,209.06,35.12,947.09,67.82,2026-04-10 00:40:06.005542
79,83,175.27,43.82,606.34,69.64,2026-04-01 05:55:02.604004
80,61,100.78,33.16,896.43,88.31,2026-04-09 13:15:23.091482
81,6,245.05,34.1,402.45,93.36,2026-04-06 17:12:08.392251
82,80,150.26,22.4,822.83,69.37,2026-04-08 08:35:19.109853
83,63,112.84,48.65,460.22,99.6,2026-04-03 14:22:37.435320
84,55,259.51,45.77,873.31,87.33,2026-04-10 22:43:55.169367
85,38,162.81,44.27,529.02,28.43,2026-04-05 10:46:09.750012
86,55,283.76,17.55,498.15,16.34,2026-04-03 06:22:03.650300
87,82,116.04,20.13,891.02,27.94,2026-04-07 15:32:12.027059
88,78,162.68,37.7,821.82,49.93,2026-04-04 14:26:46.581264
89,87,349.98,12.15,975.61,23.12,2026-04-07 07:20:26.088206
90,1,306.61,34.79,978.6,72.37,2026-04-09 02:03:18.635095
91,57,243.08,18.08,478.23,37.21,2026-04-05 22:13:14.919832
92,11,386.96,45.52,512.83,27.51,2026-04-07 06:54:18.340256
93,57,60.46,40.0,640.24,81.86,2026-04-06 06:47:10.994675
94,91,305.21,24.8,540.66,69.98,2026-04-06 04:12:38.290058
95,86,215.31,25.52,899.47,16.95,2026-04-11 01:03:02.668759
96,86,349.65,10.6,625.5,81.68,2026-04-09 08:40:41.190916
97,78,139.7,36.36,943.72,25.66,2026-04-08 02:28:45.579552
98,45,111.96,40.12,579.59,72.49,2026-04-03 11:22:31.999015
99,30,316.47,20.42,890.65,31.21,2026-04-09 15:22:12.135830
100,41,395.54,16.37,640.03,95.74,2026-04-10 20:57:25.168997
