id,user_id,action,entity,entity_id,timestamp
45,25,UPDATE,Price,96,2026-04-09 11:26:59.381992
46,75,INSERT,User,84,2026-04-01 21:44:35.954782
47,5,UPDATE,Price,94,2026-04-07 23:43:09.500510
48,18,UPDATE,Price,32,2026-04-06 19:03:13.084244
49,70,DELETE,User,31,2026-04-09 18:00:33.377752
50,39,LOGIN,User,15,2026-04-07 15:17:29.981347
51,29,UPDATE,User,51,2026-04-03 13:29:26.400762
52,62,LOGIN,Drug,81,2026-04-01 17:47:10.237841
53,63,UPDATE,Drug,73,2026-04-06 06:16:58.906725
54,17,INSERT,User,89,2026-04-05 08:14:30.274557
55,49,DELETE,Pharmacy,32,2026-04-10 02:54:17.978229
56,17,LOGIN,Drug,99,2026-04-02 21:10:13.313009
57,40,UPDATE,Drug,32,2026-04-04 08:02:57.728900
58,38,INSERT,User,81,2026-04-07 12:35:13.168080
59,69,UPDATE,Pharmacy,69,2026-04-08 07:01:25.344019
60,89,INSERT,Pharmacy,26,2026-04-03 06:23:07.253117
61,54,LOGIN,Pharmacy,71,2026-04-03 08:36:14.581216
62,49,INSERT,Price,21,2026-04-03 02:54:21.946959
63,88,UPDATE,Price,40,2026-04-03 17:02:29.700983
64,55,UPDATE,Price,76,2026-04-02 11:27:48.970748
65,79,INSERT,User,5,2026-04-08 18:05:09.894086
66,56,UPDATE,Price,29,2026-04-02 21:48:38.438943
67,64,DELETE,Drug,47,2026-04-03 10:16:56.372159
68,93,UPDATE,Pharmacy,70,2026-04-08 20:41:55.704626
69,48,DELETE,User,100,2026-04-05 11:47:37.356456
70,24,UPDATE,Drug,43,2026-04-07 09:17:57.937992
71,73,UPDATE,Drug,20,2026-04-04 23:15:30.246313
72,60,LOGIN,Pharmacy,100,2026-04-08 15:14:46.931906
73,46,LOGIN,Drug,57,2026-04-11 08:46:08.101170
74,37,LOGIN,Drug,63,2026-04-07 09:32:00.033414
75,10,LOGIN,User,33,2026-04-04 05:11:51.831964
76,2,LOGIN,Price,92,2026-04-10 15:36:13.886006
77,15,INSERT,Drug,2,2026-04-07 16:17:29.261349
78,24,INSERT,User,83,2026-04-01 02:45:44.704086
79,9,INSERT,Drug,5,2026-04-06 11:34:11.063951
80,90,UPDATE,Pharmacy,95,2026-04-05 00:16:52.788413
81,13,DELETE,Drug,5,2026-04-01 08:06:52.370523
82,84,UPDATE,User,1,2026-04-09 16:12:47.019204
83,64,INSERT,User,33,2026-04-09 22:25:26.426554
84,46,UPDATE,Pharmacy,11,2026-04-06 16:46:34.523017
85,51,LOGIN,User,51,2026-04-05 01:08:37.059946
86,92,DELETE,Pharmacy,93,2026-04-04 05:02:13.562996
87,95,UPDATE,Pharmacy,65,2026-04-07 04:38:35.161276
88,74,DELETE,Price,89,2026-04-01 05:28:15.886341
89,62,LOGIN,Pharmacy,22,2026-04-06 18:59:00.354997
90,76,DELETE,Price,58,2026-04-09 04:06:41.544055
91,41,UPDATE,Price,1,2026-04-11 05:51:05.484671
92,79,UPDATE,User,55,2026-04-06 13:41:57.335276
93,5,UPDATE,User,97,2026-04-02 08:01:55.496848
94,30,DELETE,Pharmacy,65,2026-04-06 07:16:14.318640
95,21,UPDATE,Drug,94,2026-04-02 23:40:59.854793
96,70,UPDATE,User,7,2026-04-04 12:01:33.681380
97,74,UPDATE,User,9,2026-04-06 10:35:30.160423
98,44,UPDATE,Drug,36,2026-04-04 07:16:53.535709
99,43,INSERT,Price,13,2026-04-06 01:16:30.852846
100,90,INSERT,Drug,43,2026-04-05 09:56:25.874036
